,MX,MP,CR,TSCC
0,0.1,0.5,0.5,567913.1
1,0.1,0.5,0.6,534108.5333333333
2,0.1,0.5,0.7,534748.3666666667
3,0.1,0.5,0.8,508242.36666666664
4,0.1,0.5,0.9,512568.23333333334
5,0.1,0.5,1.0,473680.9666666667
6,0.1,0.6,0.5,596124.0666666667
7,0.1,0.6,0.6,529846.3
8,0.1,0.6,0.7,520921.56666666665
9,0.1,0.6,0.8,507115.4666666667
10,0.1,0.6,0.9,474616.8333333333
11,0.1,0.6,1.0,455107.7
12,0.1,0.7,0.5,499256.13333333336
13,0.1,0.7,0.6,489413.8333333333
14,0.1,0.7,0.7,475368.5333333333
15,0.1,0.7,0.8,455615.9
16,0.1,0.7,0.9,462041.56666666665
17,0.1,0.7,1.0,436399.1666666667
18,0.1,0.8,0.5,437954.3333333333
19,0.1,0.8,0.6,437472.26666666666
20,0.1,0.8,0.7,444217.9
21,0.1,0.8,0.8,435844.06666666665
22,0.1,0.8,0.9,435011.63333333336
23,0.1,0.8,1.0,434489.26666666666
24,0.1,0.9,0.5,463006.26666666666
25,0.1,0.9,0.6,439463.2
26,0.1,0.9,0.7,439419.23333333334
27,0.1,0.9,0.8,436368.9666666667
28,0.1,0.9,0.9,435049.5
29,0.1,0.9,1.0,435102.63333333336
30,0.1,1.0,0.5,437913.4666666667
31,0.1,1.0,0.6,436816.6
32,0.1,1.0,0.7,436567.6666666667
33,0.1,1.0,0.8,436589.6
34,0.1,1.0,0.9,435966.23333333334
35,0.1,1.0,1.0,436202.23333333334
36,0.2,0.5,0.5,476549.9
37,0.2,0.5,0.6,513832.2
38,0.2,0.5,0.7,493464.9666666667
39,0.2,0.5,0.8,473126.5333333333
40,0.2,0.5,0.9,462321.63333333336
41,0.2,0.5,1.0,460641.13333333336
42,0.2,0.6,0.5,509822.86666666664
43,0.2,0.6,0.6,454308.43333333335
44,0.2,0.6,0.7,457688.56666666665
45,0.2,0.6,0.8,458345.9666666667
46,0.2,0.6,0.9,468156.8
47,0.2,0.6,1.0,447079.43333333335
48,0.2,0.7,0.5,452162.76666666666
49,0.2,0.7,0.6,441688.4
50,0.2,0.7,0.7,445038.3
51,0.2,0.7,0.8,442471.8
52,0.2,0.7,0.9,437782.2
53,0.2,0.7,1.0,437337.43333333335
54,0.2,0.8,0.5,441891.1666666667
55,0.2,0.8,0.6,440741.6666666667
56,0.2,0.8,0.7,439158.76666666666
57,0.2,0.8,0.8,438285.73333333334
58,0.2,0.8,0.9,438292.06666666665
59,0.2,0.8,1.0,437770.5333333333
60,0.2,0.9,0.5,443916.6666666667
61,0.2,0.9,0.6,444997.63333333336
62,0.2,0.9,0.7,440771.26666666666
63,0.2,0.9,0.8,442332.7
64,0.2,0.9,0.9,438926.0
65,0.2,0.9,1.0,441535.9666666667
66,0.2,1.0,0.5,444824.43333333335
67,0.2,1.0,0.6,444643.2
68,0.2,1.0,0.7,447110.4666666667
69,0.2,1.0,0.8,447097.0
70,0.2,1.0,0.9,445202.73333333334
71,0.2,1.0,1.0,443681.26666666666
72,0.3,0.5,0.5,482465.5
73,0.3,0.5,0.6,482543.6666666667
74,0.3,0.5,0.7,475576.1
75,0.3,0.5,0.8,462666.86666666664
76,0.3,0.5,0.9,466235.5
77,0.3,0.5,1.0,459348.1
78,0.3,0.6,0.5,473241.9
79,0.3,0.6,0.6,460200.13333333336
80,0.3,0.6,0.7,450871.0333333333
81,0.3,0.6,0.8,450745.23333333334
82,0.3,0.6,0.9,441496.9
83,0.3,0.6,1.0,441433.6
84,0.3,0.7,0.5,446118.5333333333
85,0.3,0.7,0.6,456803.3
86,0.3,0.7,0.7,443941.5
87,0.3,0.7,0.8,446712.4666666667
88,0.3,0.7,0.9,441469.7
89,0.3,0.7,1.0,439722.23333333334
90,0.3,0.8,0.5,451069.8333333333
91,0.3,0.8,0.6,448180.86666666664
92,0.3,0.8,0.7,446795.2
93,0.3,0.8,0.8,445110.56666666665
94,0.3,0.8,0.9,444418.36666666664
95,0.3,0.8,1.0,442742.5
96,0.3,0.9,0.5,457873.36666666664
97,0.3,0.9,0.6,451632.4666666667
98,0.3,0.9,0.7,456036.56666666665
99,0.3,0.9,0.8,451859.3
100,0.3,0.9,0.9,447717.43333333335
101,0.3,0.9,1.0,447968.1
102,0.3,1.0,0.5,463604.93333333335
103,0.3,1.0,0.6,464531.1
104,0.3,1.0,0.7,458573.9666666667
105,0.3,1.0,0.8,460342.23333333334
106,0.3,1.0,0.9,461659.3333333333
107,0.3,1.0,1.0,456639.86666666664
108,0.4,0.5,0.5,470468.43333333335
109,0.4,0.5,0.6,467774.5
110,0.4,0.5,0.7,479407.9
111,0.4,0.5,0.8,451950.06666666665
112,0.4,0.5,0.9,454605.06666666665
113,0.4,0.5,1.0,453409.1666666667
114,0.4,0.6,0.5,461289.5333333333
115,0.4,0.6,0.6,452928.86666666664
116,0.4,0.6,0.7,449459.1666666667
117,0.4,0.6,0.8,461451.93333333335
118,0.4,0.6,0.9,443619.8
119,0.4,0.6,1.0,451665.7
120,0.4,0.7,0.5,453127.2
121,0.4,0.7,0.6,451942.63333333336
122,0.4,0.7,0.7,447064.1
123,0.4,0.7,0.8,447519.93333333335
124,0.4,0.7,0.9,444178.1
125,0.4,0.7,1.0,443692.5
126,0.4,0.8,0.5,459400.1
127,0.4,0.8,0.6,455718.9666666667
128,0.4,0.8,0.7,452280.2
129,0.4,0.8,0.8,453367.43333333335
130,0.4,0.8,0.9,449530.56666666665
131,0.4,0.8,1.0,449281.6666666667
132,0.4,0.9,0.5,469762.36666666664
133,0.4,0.9,0.6,469383.26666666666
134,0.4,0.9,0.7,467844.06666666665
135,0.4,0.9,0.8,463302.6666666667
136,0.4,0.9,0.9,464379.4
137,0.4,0.9,1.0,456533.56666666665
138,0.4,1.0,0.5,487022.4666666667
139,0.4,1.0,0.6,478509.1
140,0.4,1.0,0.7,477240.73333333334
141,0.4,1.0,0.8,478295.0333333333
142,0.4,1.0,0.9,475430.63333333336
143,0.4,1.0,1.0,477930.6666666667
144,0.5,0.5,0.5,482015.36666666664
145,0.5,0.5,0.6,484066.5333333333
