,MX,MP,CR,TSCC
0,0.1,0.6,0.7,10877727.6
1,0.1,0.6,0.8,10937214.7
2,0.1,0.6,0.9,12171201.9
3,0.1,0.7,0.7,10135972.0
4,0.1,0.7,0.8,9325398.3
5,0.1,0.7,0.9,8402300.9
6,0.1,0.8,0.7,11052523.9
7,0.1,0.8,0.8,10406150.5
8,0.1,0.8,0.9,8775837.4
9,0.2,0.6,0.7,14399075.4
10,0.2,0.6,0.8,14803688.0
11,0.2,0.6,0.9,10087862.9
12,0.2,0.7,0.7,9517201.2
13,0.2,0.7,0.8,8752089.3
14,0.2,0.7,0.9,12227727.7
15,0.2,0.8,0.7,11598915.0
16,0.2,0.8,0.8,13323714.2
17,0.2,0.8,0.9,8097465.0
18,0.3,0.6,0.7,18915901.3
19,0.3,0.6,0.8,21547800.7
20,0.3,0.6,0.9,22049923.8
21,0.3,0.7,0.7,13685476.5
22,0.3,0.7,0.8,18814615.4
23,0.3,0.7,0.9,15966060.6
24,0.3,0.8,0.7,15473849.5
25,0.3,0.8,0.8,16651431.0
26,0.3,0.8,0.9,10770291.9
