,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Mean
0,9587293,8646152,11977366,7869561,11587643,8692116,5844079,10806181,5008266,10699306,7265889,7772992,10329240,4363595,6273046,7257046,7609689,8442460,11052518,7573074,13173271,7674328,8169401,9311651,8847443,3244424,10297734,11848881,14098528,9519655,8828094.266666668
1,9136709,7518577,8785032,6522300,7274282,8692116,5473639,7809891,3485969,9798970,6756982,3792168,9768891,3910913,4762184,6529846,7609689,8442460,11052518,5577287,12113722,7361775,7740170,6170310,8847443,3244424,8260822,11848881,5912351,9281684,7449400.166666667
2,9086971,7518577,7667832,6522300,7274282,5641361,5473639,5743556,2929291,7199368,6756982,3792168,8852730,3910913,4762184,6529846,6132727,8442460,7900873,4850832,2098386,5387378,7298029,4130174,6381366,3105037,6813426,8007330,4877414,6964786,6068407.266666667
3,8559515,7518577,6836232,6522300,7182919,5487166,4984428,3388669,2929291,7199368,6756982,3792168,7274398,3910913,3361189,3937831,6132727,6536425,7394095,3660346,2098386,3838252,4841629,4130174,6230975,3105037,4278777,8007330,4244492,6964786,5370179.233333333
4,7600937,6457817,6208632,4034553,6850488,4116074,2233177,3388669,2891708,6775970,5428812,3105453,6313454,3650903,2443521,3937831,4729697,6444554,6549773,3022081,2061446,3838252,4841629,4130174,5733621,2431046,3172430,8007330,4244492,4587129,4641055.1
5,6384161,6321645,3048312,4034553,6102890,3470827,1547073,3253037,2887950,6299770,5428812,3105453,4753833,3398439,2443521,3937831,4729697,4305613,4695970,2780555,2061446,3475987,3612562,4130174,5495168,1962840,3172430,7119330,4244492,4259169,4082118.0
6,5040582,5578007,3048312,4034553,6102890,2040189,1547073,3014082,2887950,5794681,5428812,3105453,4495622,3374178,2443521,3809890,3647173,3807324,4680674,2780555,2061446,3177188,2839973,3501401,4608387,1697765,2824223,6377730,3895977,3477355,3704098.8666666667
7,3908543,4846732,2932792,3904509,4054406,2040189,1547073,2841035,2347437,3721766,4819282,2400635,4495622,2789052,1759499,2950550,3371781,2791952,4473677,2696487,1949187,1746937,2397751,3501401,3817235,1697765,2824223,5217000,2478273,3477355,3126671.533333333
8,3908543,2716971,2932792,3904509,4047986,1522572,1547073,2382658,2147804,3721766,3535621,2400635,4329719,1686462,1384380,2720259,2678181,2791952,4209935,2537920,1406378,1746937,1918778,3501401,2789558,1697765,2734405,3455246,2146091,3176144,2722681.3666666667
9,3873830,2716971,2275133,3904509,3937544,1250565,1547073,2086019,1897482,2576578,3306849,2292483,4327868,1686462,1320643,2271875,1668561,2782208,3989250,2302541,1406378,1746937,1918778,2799228,2263722,1697765,2529267,3455246,2146091,2661519,2487979.1666666665
10,3081953,2100358,2275133,2997486,3645721,1250565,1537696,2086019,1690287,2576578,2758992,2144704,3569706,1686462,1320643,1685380,1668561,2532255,3574332,2302541,1143967,1746937,1459950,2799228,2018874,1697765,2174771,3348996,2146091,2183847,2240193.2666666666
11,2976275,2100358,2085865,2968465,3275156,1156057,1345384,1914577,1282454,2576578,2699094,1547184,3569706,1686462,1320414,1685380,1568566,1632929,2875513,2133946,1143967,1720755,1217812,2619817,2018874,1697765,2174771,3338356,2101206,2183847,2087251.1
