,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Mean
0,2240531,5148427,4716066,6901121,5637256,2579399,1724564,9046730,2592477,4192750,2317457,6383657,3654554,3727136,3221228,6497251,4750651,6222411,9835990,2550939,5426969,4535125,2197314,8034344,5641461,9385677,6008985,8450318,2600633,8606712,5160937.766666667
1,2240531,5148427,3299590,1271144,5520252,2579399,1724564,9046730,1846350,1015542,2317457,5726565,3654554,3172245,3221228,2884938,2737817,4393133,8302576,1341599,4401328,3430691,2197314,6688650,3930160,6892748,5241090,3079836,1638878,6695625,3854698.7
2,2240531,1508444,3299590,1271144,5520252,1692541,1724564,6792387,1846350,1015542,2317457,2834616,3549911,3172245,2581995,1373405,2737817,4393133,8302576,1341599,4401328,3430691,2197314,4635654,3930160,6892748,3503699,2070100,1638878,6678470,3296504.7
3,2240531,1508444,3299590,1271144,4251579,1692541,676674,5423039,1846350,1015542,2317457,1345659,2862680,3172245,2225233,1373405,2737817,3670136,7112954,1341599,4401328,1042918,2195337,4635654,3930160,5669224,3503699,2070100,1638878,6678470,2905012.9
4,2240531,1388399,3299590,1271144,1605280,1692541,676674,5423039,1846350,1015542,2317457,1345659,2862680,2722035,2100393,1373405,2737817,3670136,6033390,1341599,4401328,1042918,1291557,4635654,3930160,2866799,3503699,2070100,1638878,6678470,2634107.466666667
5,1288561,1388399,3299590,1114058,1605280,1692541,676674,4191029,1082425,869650,2317457,1345659,2862680,2722035,1438479,1373405,2029391,3670136,4579019,1341599,3787887,1042918,1291557,4621402,3930160,2142045,3503699,2070100,1472347,6678470,2380955.066666667
6,1288561,1388399,2086460,1114058,1605280,1692541,676674,4191029,1082425,869650,2317457,861582,2738900,2722035,1438479,1373405,1048090,3670136,4010249,1341599,3787887,1042918,1291557,3424442,3930160,2142045,2863129,2070100,1472347,2760417,2076733.7
7,1288561,1388399,1939575,1114058,1605280,1692541,676674,4191029,1082425,869650,2317457,861582,2738900,1538171,1126910,1250276,1048090,1353677,2318072,1341599,3650365,608946,1291557,2538823,2066543,2142045,2863129,1689384,1472347,2760417,1760882.7333333334
8,1288561,1388399,1424053,1114058,1605280,1692541,580370,4191029,1082425,869650,2317457,861582,2367904,1538171,1126910,1250276,1048090,1353677,2318072,1341599,1256158,608946,1291557,2538823,2066543,2142045,2705772,1689384,1472347,2760417,1643069.8666666667
9,1288561,1388399,1424053,1114058,1605280,589980,580370,4191029,1082425,869650,2317457,861582,1519219,1538171,1126910,1250276,1048090,1353677,967308,1341599,1256158,608946,1291557,2451748,2066543,2142045,1428914,1622303,1472347,2760417,1485302.4
10,1288561,1388399,1424053,1114058,1605280,589980,580370,1822909,1082425,869650,2317457,861582,1519219,628599,1126910,1250276,1048090,1353677,967308,1341599,1256158,608946,1291557,2175982,2066543,1599008,1428914,1496797,1347754,2760417,1340415.9333333333
