,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,"{'TSCC': 5544588, 'CHROM': [268, 672, 249, 396]}","{'TSCC': 15967666, 'CHROM': [ 969,  321, 1038,  427]}","{'TSCC': 8884615, 'CHROM': [739, 217, 407, 320]}","{'TSCC': 4869471, 'CHROM': [144, 363, 923, 533]}","{'TSCC': 13126504, 'CHROM': [1022,  135,  471,  317]}","{'TSCC': 8984583, 'CHROM': [371, 656, 710, 351]}","{'TSCC': 3235892, 'CHROM': [313, 303, 286, 342]}","{'TSCC': 10790196, 'CHROM': [830, 283, 176, 442]}","{'TSCC': 10923150, 'CHROM': [744, 298, 715, 370]}","{'TSCC': 11483427, 'CHROM': [880, 292, 384, 566]}","{'TSCC': 4430054, 'CHROM': [418, 156, 426, 503]}","{'TSCC': 11201420, 'CHROM': [777, 330, 656, 278]}","{'TSCC': 17409064, 'CHROM': [882, 704, 854, 436]}","{'TSCC': 6970446, 'CHROM': [ 95, 579, 716, 329]}","{'TSCC': 8049404, 'CHROM': [178, 865, 643, 396]}","{'TSCC': 4495734, 'CHROM': [234, 590, 270, 486]}","{'TSCC': 15135920, 'CHROM': [733, 918, 370, 516]}","{'TSCC': 13648851, 'CHROM': [656, 898, 274, 590]}","{'TSCC': 4768093, 'CHROM': [294, 414, 578, 333]}","{'TSCC': 14294208, 'CHROM': [674, 724, 806, 358]}","{'TSCC': 14380297, 'CHROM': [ 851,  369, 1016,  344]}","{'TSCC': 15438636, 'CHROM': [753, 929, 369, 289]}","{'TSCC': 5504912, 'CHROM': [494, 205, 463, 313]}","{'TSCC': 30939446, 'CHROM': [1557,  988, 1042,  579]}","{'TSCC': 16663251, 'CHROM': [ 599, 1322,  229,  232]}","{'TSCC': 28595158, 'CHROM': [1325, 1337,  637,  253]}","{'TSCC': 12589948, 'CHROM': [637, 859, 181, 362]}","{'TSCC': 18955084, 'CHROM': [1133,  766,  219,  364]}","{'TSCC': 4145858, 'CHROM': [262, 495, 334, 288]}","{'TSCC': 4825644, 'CHROM': [460, 120, 413, 475]}"
1,"{'TSCC': 5544588, 'CHROM': [268, 672, 249, 396]}","{'TSCC': 15967666, 'CHROM': [ 969,  321, 1038,  427]}","{'TSCC': 3638603, 'CHROM': [ 88, 251, 541, 385]}","{'TSCC': 4561355, 'CHROM': [196, 645, 328, 415]}","{'TSCC': 10850432, 'CHROM': [739, 246, 761, 546]}","{'TSCC': 8984583, 'CHROM': [371, 656, 710, 351]}","{'TSCC': 3235892, 'CHROM': [313, 303, 286, 342]}","{'TSCC': 10790196, 'CHROM': [830, 283, 176, 442]}","{'TSCC': 5829998, 'CHROM': [530, 245, 373, 413]}","{'TSCC': 11483427, 'CHROM': [880, 292, 384, 566]}","{'TSCC': 4430054, 'CHROM': [418, 156, 426, 503]}","{'TSCC': 8128804, 'CHROM': [619, 259, 576, 468]}","{'TSCC': 17409064, 'CHROM': [882, 704, 854, 436]}","{'TSCC': 5548894, 'CHROM': [179, 167, 882, 500]}","{'TSCC': 2002584, 'CHROM': [188, 368, 339, 479]}","{'TSCC': 4495734, 'CHROM': [234, 590, 270, 486]}","{'TSCC': 13822708, 'CHROM': [820, 700, 254, 449]}","{'TSCC': 6371963, 'CHROM': [560, 127, 437, 394]}","{'TSCC': 4768093, 'CHROM': [294, 414, 578, 333]}","{'TSCC': 14294208, 'CHROM': [674, 724, 806, 358]}","{'TSCC': 14380297, 'CHROM': [ 851,  369, 1016,  344]}","{'TSCC': 15438636, 'CHROM': [753, 929, 369, 289]}","{'TSCC': 5504912, 'CHROM': [494, 205, 463, 313]}","{'TSCC': 27754666, 'CHROM': [1240, 1214,  931,  365]}","{'TSCC': 10395817, 'CHROM': [683, 564, 187, 323]}","{'TSCC': 28264378, 'CHROM': [1615,  772,  780,  447]}","{'TSCC': 12589948, 'CHROM': [637, 859, 181, 362]}","{'TSCC': 18955084, 'CHROM': [1133,  766,  219,  364]}","{'TSCC': 3964810, 'CHROM': [327, 297, 547, 274]}","{'TSCC': 4825644, 'CHROM': [460, 120, 413, 475]}"
2,"{'TSCC': 5544588, 'CHROM': [268, 672, 249, 396]}","{'TSCC': 15967666, 'CHROM': [ 969,  321, 1038,  427]}","{'TSCC': 3638603, 'CHROM': [ 88, 251, 541, 385]}","{'TSCC': 4561355, 'CHROM': [196, 645, 328, 415]}","{'TSCC': 5828652, 'CHROM': [232, 121, 856, 572]}","{'TSCC': 8984583, 'CHROM': [371, 656, 710, 351]}","{'TSCC': 3235892, 'CHROM': [313, 303, 286, 342]}","{'TSCC': 10790196, 'CHROM': [830, 283, 176, 442]}","{'TSCC': 5829998, 'CHROM': [530, 245, 373, 413]}","{'TSCC': 8457805, 'CHROM': [588, 265, 246, 232]}","{'TSCC': 4430054, 'CHROM': [418, 156, 426, 503]}","{'TSCC': 6831480, 'CHROM': [343, 389, 895, 418]}","{'TSCC': 17409064, 'CHROM': [882, 704, 854, 436]}","{'TSCC': 3596538, 'CHROM': [180, 303, 219, 383]}","{'TSCC': 2002584, 'CHROM': [188, 368, 339, 479]}","{'TSCC': 4495734, 'CHROM': [234, 590, 270, 486]}","{'TSCC': 4030068, 'CHROM': [369, 305, 225, 384]}","{'TSCC': 6371963, 'CHROM': [560, 127, 437, 394]}","{'TSCC': 4768093, 'CHROM': [294, 414, 578, 333]}","{'TSCC': 9734496, 'CHROM': [341, 846, 634, 265]}","{'TSCC': 8565835, 'CHROM': [660, 204, 189, 373]}","{'TSCC': 12253524, 'CHROM': [476, 962, 460, 460]}","{'TSCC': 5486490, 'CHROM': [446, 369, 303, 462]}","{'TSCC': 22377446, 'CHROM': [1141,  870,  741,  584]}","{'TSCC': 8569139, 'CHROM': [496, 618, 296, 243]}","{'TSCC': 23668426, 'CHROM': [1612,  331,  677,  593]}","{'TSCC': 12589948, 'CHROM': [637, 859, 181, 362]}","{'TSCC': 18955084, 'CHROM': [1133,  766,  219,  364]}","{'TSCC': 3964810, 'CHROM': [327, 297, 547, 274]}","{'TSCC': 4825644, 'CHROM': [460, 120, 413, 475]}"
3,"{'TSCC': 5544588, 'CHROM': [268, 672, 249, 396]}","{'TSCC': 15967666, 'CHROM': [ 969,  321, 1038,  427]}","{'TSCC': 3638603, 'CHROM': [ 88, 251, 541, 385]}","{'TSCC': 4561355, 'CHROM': [196, 645, 328, 415]}","{'TSCC': 3042808, 'CHROM': [344, 207, 333, 540]}","{'TSCC': 8984583, 'CHROM': [371, 656, 710, 351]}","{'TSCC': 3235892, 'CHROM': [313, 303, 286, 342]}","{'TSCC': 6391776, 'CHROM': [402, 508, 229, 209]}","{'TSCC': 5829998, 'CHROM': [530, 245, 373, 413]}","{'TSCC': 8457805, 'CHROM': [588, 265, 246, 232]}","{'TSCC': 4430054, 'CHROM': [418, 156, 426, 503]}","{'TSCC': 6831480, 'CHROM': [343, 389, 895, 418]}","{'TSCC': 4357744, 'CHROM': [104, 397, 616, 219]}","{'TSCC': 1131720, 'CHROM': [189, 279, 354, 470]}","{'TSCC': 2002584, 'CHROM': [188, 368, 339, 479]}","{'TSCC': 4495734, 'CHROM': [234, 590, 270, 486]}","{'TSCC': 4030068, 'CHROM': [369, 305, 225, 384]}","{'TSCC': 6371963, 'CHROM': [560, 127, 437, 394]}","{'TSCC': 4768093, 'CHROM': [294, 414, 578, 333]}","{'TSCC': 7534880, 'CHROM': [328, 680, 528, 341]}","{'TSCC': 4812925, 'CHROM': [434, 160, 226, 523]}","{'TSCC': 7716448, 'CHROM': [475, 341, 775, 399]}","{'TSCC': 5486490, 'CHROM': [446, 369, 303, 462]}","{'TSCC': 21903426, 'CHROM': [ 916, 1400,  248,  338]}","{'TSCC': 8569139, 'CHROM': [496, 618, 296, 243]}","{'TSCC': 13006378, 'CHROM': [705, 586, 699, 464]}","{'TSCC': 11185042, 'CHROM': [ 246, 1267,  233,  591]}","{'TSCC': 10673682, 'CHROM': [640, 605, 350, 334]}","{'TSCC': 3964810, 'CHROM': [327, 297, 547, 274]}","{'TSCC': 4825644, 'CHROM': [460, 120, 413, 475]}"
4,"{'TSCC': 5544588, 'CHROM': [268, 672, 249, 396]}","{'TSCC': 7105010, 'CHROM': [305, 493, 889, 227]}","{'TSCC': 3638603, 'CHROM': [ 88, 251, 541, 385]}","{'TSCC': 4561355, 'CHROM': [196, 645, 328, 415]}","{'TSCC': 3042808, 'CHROM': [344, 207, 333, 540]}","{'TSCC': 8984583, 'CHROM': [371, 656, 710, 351]}","{'TSCC': 2297788, 'CHROM': [151, 435, 193, 531]}","{'TSCC': 4352242, 'CHROM': [ 87, 470, 274, 326]}","{'TSCC': 5829998, 'CHROM': [530, 245, 373, 413]}","{'TSCC': 8457805, 'CHROM': [588, 265, 246, 232]}","{'TSCC': 4430054, 'CHROM': [418, 156, 426, 503]}","{'TSCC': 4665172, 'CHROM': [126, 435, 658, 518]}","{'TSCC': 3687220, 'CHROM': [163, 554, 382, 387]}","{'TSCC': 1131720, 'CHROM': [189, 279, 354, 470]}","{'TSCC': 2002584, 'CHROM': [188, 368, 339, 479]}","{'TSCC': 4481932, 'CHROM': [227, 608, 214, 267]}","{'TSCC': 4030068, 'CHROM': [369, 305, 225, 384]}","{'TSCC': 3918585, 'CHROM': [253, 133, 644, 449]}","{'TSCC': 4768093, 'CHROM': [294, 414, 578, 333]}","{'TSCC': 7534880, 'CHROM': [328, 680, 528, 341]}","{'TSCC': 4812925, 'CHROM': [434, 160, 226, 523]}","{'TSCC': 6971124, 'CHROM': [330, 419, 862, 546]}","{'TSCC': 5486490, 'CHROM': [446, 369, 303, 462]}","{'TSCC': 19000148, 'CHROM': [ 855, 1189,  203,  562]}","{'TSCC': 6560053, 'CHROM': [381, 610, 220, 322]}","{'TSCC': 12304374, 'CHROM': [720, 679, 278, 545]}","{'TSCC': 3742754, 'CHROM': [350, 285, 430, 376]}","{'TSCC': 10673682, 'CHROM': [640, 605, 350, 334]}","{'TSCC': 3964810, 'CHROM': [327, 297, 547, 274]}","{'TSCC': 4825644, 'CHROM': [460, 120, 413, 475]}"
5,"{'TSCC': 2452430, 'CHROM': [205, 455, 160, 423]}","{'TSCC': 7105010, 'CHROM': [305, 493, 889, 227]}","{'TSCC': 3638603, 'CHROM': [ 88, 251, 541, 385]}","{'TSCC': 4561355, 'CHROM': [196, 645, 328, 415]}","{'TSCC': 1941604, 'CHROM': [168, 277, 365, 314]}","{'TSCC': 7765647, 'CHROM': [479, 325, 776, 424]}","{'TSCC': 2297788, 'CHROM': [151, 435, 193, 531]}","{'TSCC': 4352242, 'CHROM': [ 87, 470, 274, 326]}","{'TSCC': 3731476, 'CHROM': [289, 437, 234, 484]}","{'TSCC': 2746995, 'CHROM': [188, 413, 439, 353]}","{'TSCC': 1936540, 'CHROM': [254, 249, 369, 470]}","{'TSCC': 4665172, 'CHROM': [126, 435, 658, 518]}","{'TSCC': 3687220, 'CHROM': [163, 554, 382, 387]}","{'TSCC': 1131720, 'CHROM': [189, 279, 354, 470]}","{'TSCC': 2002584, 'CHROM': [188, 368, 339, 479]}","{'TSCC': 4481932, 'CHROM': [227, 608, 214, 267]}","{'TSCC': 4030068, 'CHROM': [369, 305, 225, 384]}","{'TSCC': 3918585, 'CHROM': [253, 133, 644, 449]}","{'TSCC': 4768093, 'CHROM': [294, 414, 578, 333]}","{'TSCC': 7534880, 'CHROM': [328, 680, 528, 341]}","{'TSCC': 4812925, 'CHROM': [434, 160, 226, 523]}","{'TSCC': 6389148, 'CHROM': [210, 633, 686, 489]}","{'TSCC': 5486490, 'CHROM': [446, 369, 303, 462]}","{'TSCC': 16395908, 'CHROM': [ 525, 1385,  307,  233]}","{'TSCC': 6560053, 'CHROM': [381, 610, 220, 322]}","{'TSCC': 12304374, 'CHROM': [720, 679, 278, 545]}","{'TSCC': 3742754, 'CHROM': [350, 285, 430, 376]}","{'TSCC': 7538222, 'CHROM': [424, 650, 181, 368]}","{'TSCC': 2137018, 'CHROM': [162, 399, 325, 504]}","{'TSCC': 2073544, 'CHROM': [270, 201, 375, 575]}"
6,"{'TSCC': 2452430, 'CHROM': [205, 455, 160, 423]}","{'TSCC': 4568278, 'CHROM': [153, 497, 201, 235]}","{'TSCC': 2489771, 'CHROM': [130, 245, 536, 371]}","{'TSCC': 4561355, 'CHROM': [196, 645, 328, 415]}","{'TSCC': 1941604, 'CHROM': [168, 277, 365, 314]}","{'TSCC': 3545939, 'CHROM': [152, 302, 860, 222]}","{'TSCC': 1538938, 'CHROM': [152, 315, 277, 496]}","{'TSCC': 4352242, 'CHROM': [ 87, 470, 274, 326]}","{'TSCC': 3731476, 'CHROM': [289, 437, 234, 484]}","{'TSCC': 2746995, 'CHROM': [188, 413, 439, 353]}","{'TSCC': 1936540, 'CHROM': [254, 249, 369, 470]}","{'TSCC': 4665172, 'CHROM': [126, 435, 658, 518]}","{'TSCC': 3204140, 'CHROM': [154, 414, 525, 471]}","{'TSCC': 1131720, 'CHROM': [189, 279, 354, 470]}","{'TSCC': 2002584, 'CHROM': [188, 368, 339, 479]}","{'TSCC': 4381168, 'CHROM': [305, 454, 283, 256]}","{'TSCC': 4030068, 'CHROM': [369, 305, 225, 384]}","{'TSCC': 3918585, 'CHROM': [253, 133, 644, 449]}","{'TSCC': 4768093, 'CHROM': [294, 414, 578, 333]}","{'TSCC': 7534880, 'CHROM': [328, 680, 528, 341]}","{'TSCC': 4812925, 'CHROM': [434, 160, 226, 523]}","{'TSCC': 4551740, 'CHROM': [336, 452, 259, 332]}","{'TSCC': 3108646, 'CHROM': [210, 432, 430, 330]}","{'TSCC': 13496246, 'CHROM': [743, 689, 491, 407]}","{'TSCC': 6560053, 'CHROM': [381, 610, 220, 322]}","{'TSCC': 2440104, 'CHROM': [142, 401, 372, 353]}","{'TSCC': 3742754, 'CHROM': [350, 285, 430, 376]}","{'TSCC': 7538222, 'CHROM': [424, 650, 181, 368]}","{'TSCC': 2137018, 'CHROM': [162, 399, 325, 504]}","{'TSCC': 2073544, 'CHROM': [270, 201, 375, 575]}"
7,"{'TSCC': 2452430, 'CHROM': [205, 455, 160, 423]}","{'TSCC': 4568278, 'CHROM': [153, 497, 201, 235]}","{'TSCC': 2489771, 'CHROM': [130, 245, 536, 371]}","{'TSCC': 3493881, 'CHROM': [161, 180, 536, 294]}","{'TSCC': 1539406, 'CHROM': [193, 284, 273, 419]}","{'TSCC': 3545939, 'CHROM': [152, 302, 860, 222]}","{'TSCC': 1538938, 'CHROM': [152, 315, 277, 496]}","{'TSCC': 3996468, 'CHROM': [118, 516, 315, 460]}","{'TSCC': 3731476, 'CHROM': [289, 437, 234, 484]}","{'TSCC': 2746995, 'CHROM': [188, 413, 439, 353]}","{'TSCC': 1936540, 'CHROM': [254, 249, 369, 470]}","{'TSCC': 3500304, 'CHROM': [159, 541, 363, 366]}","{'TSCC': 3204140, 'CHROM': [154, 414, 525, 471]}","{'TSCC': 1131720, 'CHROM': [189, 279, 354, 470]}","{'TSCC': 2002584, 'CHROM': [188, 368, 339, 479]}","{'TSCC': 4381168, 'CHROM': [305, 454, 283, 256]}","{'TSCC': 2237528, 'CHROM': [246, 336, 242, 524]}","{'TSCC': 3918585, 'CHROM': [253, 133, 644, 449]}","{'TSCC': 4768093, 'CHROM': [294, 414, 578, 333]}","{'TSCC': 7534880, 'CHROM': [328, 680, 528, 341]}","{'TSCC': 4027619, 'CHROM': [407, 245, 307, 388]}","{'TSCC': 4551740, 'CHROM': [336, 452, 259, 332]}","{'TSCC': 3108646, 'CHROM': [210, 432, 430, 330]}","{'TSCC': 13496246, 'CHROM': [743, 689, 491, 407]}","{'TSCC': 6560053, 'CHROM': [381, 610, 220, 322]}","{'TSCC': 2440104, 'CHROM': [142, 401, 372, 353]}","{'TSCC': 3742754, 'CHROM': [350, 285, 430, 376]}","{'TSCC': 7538222, 'CHROM': [424, 650, 181, 368]}","{'TSCC': 2137018, 'CHROM': [162, 399, 325, 504]}","{'TSCC': 2073544, 'CHROM': [270, 201, 375, 575]}"
8,"{'TSCC': 2452430, 'CHROM': [205, 455, 160, 423]}","{'TSCC': 4363772, 'CHROM': [255, 528, 350, 407]}","{'TSCC': 2489771, 'CHROM': [130, 245, 536, 371]}","{'TSCC': 2911035, 'CHROM': [254, 330, 486, 249]}","{'TSCC': 1539406, 'CHROM': [193, 284, 273, 419]}","{'TSCC': 2752811, 'CHROM': [193, 325, 589, 402]}","{'TSCC': 1538938, 'CHROM': [152, 315, 277, 496]}","{'TSCC': 3996468, 'CHROM': [118, 516, 315, 460]}","{'TSCC': 3731476, 'CHROM': [289, 437, 234, 484]}","{'TSCC': 2399353, 'CHROM': [114, 299, 414, 408]}","{'TSCC': 1936540, 'CHROM': [254, 249, 369, 470]}","{'TSCC': 2862724, 'CHROM': [212, 439, 224, 311]}","{'TSCC': 3063802, 'CHROM': [271, 233, 234, 527]}","{'TSCC': 1131720, 'CHROM': [189, 279, 354, 470]}","{'TSCC': 2002584, 'CHROM': [188, 368, 339, 479]}","{'TSCC': 4381168, 'CHROM': [305, 454, 283, 256]}","{'TSCC': 2237528, 'CHROM': [246, 336, 242, 524]}","{'TSCC': 3918585, 'CHROM': [253, 133, 644, 449]}","{'TSCC': 4768093, 'CHROM': [294, 414, 578, 333]}","{'TSCC': 7534880, 'CHROM': [328, 680, 528, 341]}","{'TSCC': 4027619, 'CHROM': [407, 245, 307, 388]}","{'TSCC': 4551740, 'CHROM': [336, 452, 259, 332]}","{'TSCC': 3108646, 'CHROM': [210, 432, 430, 330]}","{'TSCC': 13496246, 'CHROM': [743, 689, 491, 407]}","{'TSCC': 6560053, 'CHROM': [381, 610, 220, 322]}","{'TSCC': 2440104, 'CHROM': [142, 401, 372, 353]}","{'TSCC': 3742754, 'CHROM': [350, 285, 430, 376]}","{'TSCC': 7538222, 'CHROM': [424, 650, 181, 368]}","{'TSCC': 2137018, 'CHROM': [162, 399, 325, 504]}","{'TSCC': 2073544, 'CHROM': [270, 201, 375, 575]}"
9,"{'TSCC': 2452430, 'CHROM': [205, 455, 160, 423]}","{'TSCC': 4363772, 'CHROM': [255, 528, 350, 407]}","{'TSCC': 2489771, 'CHROM': [130, 245, 536, 371]}","{'TSCC': 2911035, 'CHROM': [254, 330, 486, 249]}","{'TSCC': 1539406, 'CHROM': [193, 284, 273, 419]}","{'TSCC': 2752811, 'CHROM': [193, 325, 589, 402]}","{'TSCC': 1538938, 'CHROM': [152, 315, 277, 496]}","{'TSCC': 3514058, 'CHROM': [210, 527, 311, 355]}","{'TSCC': 3731476, 'CHROM': [289, 437, 234, 484]}","{'TSCC': 2399353, 'CHROM': [114, 299, 414, 408]}","{'TSCC': 1936540, 'CHROM': [254, 249, 369, 470]}","{'TSCC': 2862724, 'CHROM': [212, 439, 224, 311]}","{'TSCC': 3063802, 'CHROM': [271, 233, 234, 527]}","{'TSCC': 1131720, 'CHROM': [189, 279, 354, 470]}","{'TSCC': 2002584, 'CHROM': [188, 368, 339, 479]}","{'TSCC': 4381168, 'CHROM': [305, 454, 283, 256]}","{'TSCC': 2237528, 'CHROM': [246, 336, 242, 524]}","{'TSCC': 3918585, 'CHROM': [253, 133, 644, 449]}","{'TSCC': 4768093, 'CHROM': [294, 414, 578, 333]}","{'TSCC': 7534880, 'CHROM': [328, 680, 528, 341]}","{'TSCC': 4027619, 'CHROM': [407, 245, 307, 388]}","{'TSCC': 4551740, 'CHROM': [336, 452, 259, 332]}","{'TSCC': 3108646, 'CHROM': [210, 432, 430, 330]}","{'TSCC': 13496246, 'CHROM': [743, 689, 491, 407]}","{'TSCC': 6560053, 'CHROM': [381, 610, 220, 322]}","{'TSCC': 2440104, 'CHROM': [142, 401, 372, 353]}","{'TSCC': 3373394, 'CHROM': [179, 492, 437, 350]}","{'TSCC': 7538222, 'CHROM': [424, 650, 181, 368]}","{'TSCC': 2137018, 'CHROM': [162, 399, 325, 504]}","{'TSCC': 2073544, 'CHROM': [270, 201, 375, 575]}"
